distribution_id,distribution_date,site,households_served,meals_served
0,2025-05-09,North Hub,60,240
1,2025-02-14,Mobile Unit,29,58
2,2025-01-28,Mobile Unit,71,142
3,2025-02-23,Riverside Centre,55,110
4,2025-07-15,Riverside Centre,30,60
5,2025-03-04,Mobile Unit,72,144
6,2025-03-31,East Community Hall,46,184
7,2025-02-10,North Hub,47,141
8,2025-01-02,Mobile Unit,75,150
9,2025-02-26,East Community Hall,69,276
10,2025-09-01,Mobile Unit,82,164
11,2025-02-08,North Hub,23,92
12,2025-07-09,Riverside Centre,50,100
13,2025-02-17,Riverside Centre,17,34
14,2025-01-05,North Hub,21,84
15,2025-05-28,Riverside Centre,30,60
16,2025-05-01,Mobile Unit,14,56
17,2025-07-15,Riverside Centre,10,30
18,2025-04-26,Mobile Unit,38,114
19,2025-08-12,Riverside Centre,68,272
20,2025-01-13,North Hub,77,308
21,2025-05-09,North Hub,14,70
22,2025-08-25,East Community Hall,19,95
23,2025-08-28,Riverside Centre,23,92
24,2025-05-14,North Hub,13,26
25,2025-06-01,North Hub,70,140
26,2025-08-31,Mobile Unit,22,44
27,2025-07-14,East Community Hall,62,310
28,2025-06-02,North Hub,66,198
29,2025-01-13,Mobile Unit,55,165
30,2025-03-14,East Community Hall,40,120
31,2025-08-20,Riverside Centre,49,147
32,2025-07-06,North Hub,12,48
33,2025-07-03,Riverside Centre,18,36
34,2025-07-25,North Hub,27,81
35,2025-04-26,North Hub,87,261
36,2025-08-16,Mobile Unit,43,172
37,2025-02-14,Riverside Centre,78,312
38,2025-07-08,East Community Hall,55,110
39,2025-05-08,Mobile Unit,83,332
40,2025-03-29,Riverside Centre,22,110
41,2025-03-18,East Community Hall,42,84
42,2025-07-11,Riverside Centre,43,86
43,2025-07-29,North Hub,71,213
44,2025-07-30,Mobile Unit,22,66
45,2025-09-06,Mobile Unit,25,50
46,2025-08-08,North Hub,49,147
47,2025-08-18,Mobile Unit,32,64
48,2025-06-19,North Hub,50,250
49,2025-04-27,North Hub,12,36
50,2025-06-08,Mobile Unit,65,325
51,2025-01-21,Mobile Unit,17,85
52,2025-06-11,East Community Hall,82,328
53,2025-07-02,North Hub,43,86
54,2025-09-01,Mobile Unit,66,264
55,2025-08-26,Mobile Unit,32,64
56,2025-01-07,Riverside Centre,34,68
57,2025-03-24,Mobile Unit,30,120
58,2025-02-19,North Hub,61,305
59,2025-02-08,North Hub,22,66
60,2025-05-14,North Hub,17,51
61,2025-07-11,Mobile Unit,34,170
62,2025-05-01,East Community Hall,65,130
63,2025-01-18,East Community Hall,60,180
64,2025-04-20,North Hub,44,176
65,2025-05-07,East Community Hall,75,375
66,2025-05-16,North Hub,35,105
67,2025-01-12,Mobile Unit,51,153
68,2025-04-10,Mobile Unit,85,340
69,2025-05-14,East Community Hall,42,84
70,2025-06-13,East Community Hall,68,272
71,2025-03-31,Mobile Unit,20,60
72,2025-05-07,Mobile Unit,89,445
73,2025-07-24,East Community Hall,85,170
74,2025-03-13,Mobile Unit,29,116
75,2025-07-07,Riverside Centre,17,51
76,2025-07-31,East Community Hall,22,44
77,2025-04-11,North Hub,24,96
78,2025-03-04,Riverside Centre,35,105
79,2025-08-24,East Community Hall,86,172
80,2025-05-26,Riverside Centre,35,70
81,2025-05-15,Riverside Centre,47,188
82,2025-05-26,Mobile Unit,74,296
83,2025-05-29,Mobile Unit,73,146
84,2025-04-18,North Hub,31,62
85,2025-08-07,East Community Hall,89,445
86,2025-05-27,East Community Hall,42,84
87,2025-05-06,Riverside Centre,37,111
88,2025-08-30,Mobile Unit,24,96
89,2025-02-10,North Hub,70,280
90,2025-05-06,Mobile Unit,18,90
91,2025-03-16,East Community Hall,55,275
92,2025-03-02,Riverside Centre,88,176
93,2025-04-29,Riverside Centre,59,295
94,2025-04-05,Riverside Centre,45,225
95,2025-06-27,Mobile Unit,15,30
96,2025-02-22,Riverside Centre,62,310
97,2025-08-05,East Community Hall,48,240
98,2025-05-21,Riverside Centre,33,165
99,2025-08-12,Riverside Centre,41,205
100,2025-01-31,Mobile Unit,53,212
101,2025-07-10,North Hub,58,174
102,2025-02-21,East Community Hall,81,405
103,2025-06-16,North Hub,64,192
104,2025-01-25,Mobile Unit,69,276
105,2025-02-28,Riverside Centre,28,84
106,2025-03-26,East Community Hall,47,235
107,2025-05-30,Mobile Unit,86,430
108,2025-09-03,North Hub,36,108
109,2025-04-04,East Community Hall,19,57
110,2025-01-18,North Hub,83,249
111,2025-08-11,Riverside Centre,88,440
112,2025-07-18,Riverside Centre,18,72
113,2025-06-21,Riverside Centre,27,108
114,2025-06-19,Mobile Unit,30,150
115,2025-01-27,North Hub,56,280
116,2025-03-08,East Community Hall,49,245
117,2025-05-12,Mobile Unit,86,344
118,2025-03-05,East Community Hall,46,230
119,2025-01-01,Riverside Centre,83,415
120,2025-04-05,Mobile Unit,55,275
121,2025-05-19,North Hub,45,135
122,2025-05-25,East Community Hall,10,40
123,2025-04-30,Riverside Centre,59,295
124,2025-03-07,East Community Hall,74,370
125,2025-02-23,East Community Hall,33,99
126,2025-08-19,North Hub,76,380
127,2025-01-27,North Hub,27,108
128,2025-07-28,North Hub,50,250
129,2025-07-05,North Hub,19,95
130,2025-08-07,North Hub,33,132
131,2025-08-22,Mobile Unit,73,219
132,2025-01-30,East Community Hall,76,228
133,2025-01-12,North Hub,24,48
134,2025-01-12,East Community Hall,46,138
135,2025-09-06,North Hub,57,171
136,2025-08-01,Mobile Unit,68,272
137,2025-02-09,Riverside Centre,86,430
138,2025-04-16,Riverside Centre,47,188
139,2025-01-21,East Community Hall,77,385
140,2025-04-09,North Hub,51,153
141,2025-03-03,East Community Hall,66,198
142,2025-01-17,Riverside Centre,36,108
143,2025-09-04,Mobile Unit,33,165
144,2025-08-02,Mobile Unit,13,39
145,2025-04-11,North Hub,63,189
146,2025-01-02,Mobile Unit,86,258
147,2025-07-06,Riverside Centre,14,70
148,2025-02-12,East Community Hall,34,68
149,2025-02-17,Riverside Centre,42,168
150,2025-01-24,Riverside Centre,84,168
151,2025-05-25,North Hub,83,332
152,2025-07-27,East Community Hall,67,268
153,2025-06-25,Riverside Centre,27,108
154,2025-05-23,Riverside Centre,71,142
155,2025-06-13,North Hub,27,81
156,2025-04-23,Riverside Centre,20,100
157,2025-03-23,East Community Hall,53,265
158,2025-06-08,East Community Hall,89,356
159,2025-07-26,Riverside Centre,66,330
160,2025-01-10,Mobile Unit,21,105
161,2025-05-31,Mobile Unit,88,352
162,2025-04-14,Mobile Unit,84,168
163,2025-01-29,Riverside Centre,72,360
164,2025-04-06,Riverside Centre,88,264
165,2025-01-25,Mobile Unit,11,33
166,2025-08-05,Mobile Unit,52,260
167,2025-08-28,Mobile Unit,16,32
168,2025-08-23,Mobile Unit,64,320
169,2025-07-16,North Hub,23,92
170,2025-07-17,Riverside Centre,23,46
171,2025-05-03,Mobile Unit,65,260
172,2025-06-25,Mobile Unit,31,124
173,2025-04-15,East Community Hall,21,84
174,2025-05-14,Mobile Unit,38,190
175,2025-02-06,East Community Hall,52,104
176,2025-08-31,East Community Hall,54,216
177,2025-02-25,North Hub,59,236
178,2025-08-08,Mobile Unit,33,99
179,2025-06-23,Riverside Centre,43,215
180,2025-07-21,Mobile Unit,20,60
181,2025-07-03,North Hub,64,128
182,2025-02-04,Riverside Centre,38,76
183,2025-08-21,East Community Hall,45,225
184,2025-07-10,North Hub,45,135
185,2025-05-22,Mobile Unit,34,170
186,2025-05-14,Mobile Unit,14,28
187,2025-03-19,North Hub,20,40
188,2025-02-14,North Hub,40,120
189,2025-08-15,Riverside Centre,16,80
190,2025-02-24,East Community Hall,22,44
191,2025-08-03,Riverside Centre,60,240
192,2025-01-24,North Hub,35,175
193,2025-04-24,East Community Hall,70,210
194,2025-04-23,East Community Hall,47,141
195,2025-05-08,Riverside Centre,81,324
196,2025-04-29,North Hub,20,80
197,2025-02-07,Riverside Centre,20,60
198,2025-02-18,Riverside Centre,25,125
199,2025-04-27,Riverside Centre,39,117
200,2025-01-21,Riverside Centre,17,34
201,2025-04-21,North Hub,33,132
202,2025-09-05,Mobile Unit,49,147
203,2025-04-04,North Hub,26,130
204,2025-01-01,East Community Hall,69,345
205,2025-07-27,East Community Hall,53,106
206,2025-07-31,North Hub,52,260
207,2025-07-11,North Hub,84,420
208,2025-07-25,North Hub,77,154
209,2025-09-06,Mobile Unit,79,395
210,2025-03-26,Mobile Unit,16,64
211,2025-06-13,Mobile Unit,78,156
212,2025-06-05,East Community Hall,24,72
213,2025-03-05,Mobile Unit,45,135
214,2025-04-28,Mobile Unit,48,192
215,2025-06-05,Riverside Centre,50,200
216,2025-08-02,Riverside Centre,22,66
217,2025-06-18,North Hub,87,435
218,2025-08-08,Mobile Unit,35,175
219,2025-05-27,Riverside Centre,32,160
220,2025-02-20,North Hub,69,345
221,2025-04-12,Mobile Unit,43,129
222,2025-08-24,Riverside Centre,45,90
223,2025-03-01,Mobile Unit,68,136
224,2025-07-09,East Community Hall,18,72
225,2025-01-06,Mobile Unit,80,320
226,2025-07-10,Riverside Centre,74,222
227,2025-04-25,North Hub,66,198
228,2025-08-16,Mobile Unit,81,243
229,2025-08-24,Riverside Centre,18,90
230,2025-04-07,North Hub,56,224
231,2025-04-28,East Community Hall,17,34
232,2025-08-13,Riverside Centre,58,116
233,2025-07-27,Mobile Unit,52,156
234,2025-07-08,East Community Hall,88,176
235,2025-04-10,Riverside Centre,40,160
