donation_id,donation_date,food_category,source,weight_kg
0,2025-05-26,Bakery,Community Drive,7.7
1,2025-03-05,Fresh produce,Individual,26.5
2,2025-08-05,Frozen,Supermarket Co,1.1
3,2025-05-28,Beverages,Community Drive,40.7
4,2025-03-30,Dairy,Corporate Gift,20.5
5,2025-08-26,Dairy,Community Drive,7.1
6,2025-08-24,Frozen,Community Drive,44.0
7,2025-06-22,Beverages,Local Farm,34.8
8,2025-04-24,Dry goods,Individual,40.7
9,2025-04-25,Bakery,Corporate Gift,7.2
10,2025-04-22,Dry goods,Community Drive,43.3
11,2025-05-15,Beverages,Individual,38.1
12,2025-07-22,Bakery,Corporate Gift,22.6
13,2025-06-13,Dry goods,Individual,18.1
14,2025-06-08,Dairy,Supermarket Co,3.7
15,2025-02-07,Beverages,Community Drive,7.4
16,2025-02-10,Frozen,Community Drive,26.8
17,2025-03-04,Dry goods,Individual,17.2
18,2025-01-14,Dry goods,Local Farm,20.9
19,2025-04-06,Canned goods,Community Drive,23.7
20,2025-04-19,Canned goods,Individual,24.4
21,2025-01-13,Beverages,Local Farm,34.3
22,2025-02-05,Canned goods,Individual,21.0
23,2025-06-28,Dairy,Local Farm,14.3
24,2025-03-09,Fresh produce,Corporate Gift,23.8
25,2025-01-23,Beverages,Individual,26.2
26,2025-06-07,Bakery,Local Farm,45.2
27,2025-01-29,Dairy,Individual,8.8
28,2025-03-08,Canned goods,Corporate Gift,36.3
29,2025-02-15,Dairy,Community Drive,38.7
30,2025-07-22,Fresh produce,Corporate Gift,10.6
31,2025-04-10,Fresh produce,Individual,5.7
32,2025-05-20,Dairy,Supermarket Co,1.9
33,2025-02-26,Frozen,Corporate Gift,34.2
34,2025-07-07,Frozen,Corporate Gift,15.9
35,2025-07-26,Canned goods,Local Farm,1.4
36,2025-05-31,Fresh produce,Community Drive,41.1
37,2025-03-29,Canned goods,Corporate Gift,48.1
38,2025-05-02,Canned goods,Local Farm,27.2
39,2025-01-14,Dry goods,Individual,10.7
40,2025-03-05,Fresh produce,Supermarket Co,38.3
41,2025-07-02,Fresh produce,Local Farm,22.0
42,2025-06-07,Dairy,Local Farm,46.7
43,2025-01-16,Canned goods,Individual,18.8
44,2025-08-03,Canned goods,Local Farm,15.7
45,2025-03-17,Fresh produce,Local Farm,38.0
46,2025-01-30,Frozen,Corporate Gift,45.4
47,2025-02-22,Frozen,Supermarket Co,39.6
48,2025-04-25,Fresh produce,Corporate Gift,9.7
49,2025-01-07,Canned goods,Corporate Gift,20.4
50,2025-07-14,Bakery,Local Farm,45.7
51,2025-09-01,Frozen,Individual,34.6
52,2025-03-03,Canned goods,Local Farm,49.8
53,2025-07-11,Beverages,Individual,23.3
54,2025-05-30,Fresh produce,Corporate Gift,23.4
55,2025-07-02,Canned goods,Corporate Gift,24.1
56,2025-03-25,Dry goods,Community Drive,20.5
57,2025-05-11,Dry goods,Corporate Gift,46.9
58,2025-05-24,Frozen,Local Farm,22.5
59,2025-06-15,Dairy,Supermarket Co,31.9
60,2025-01-10,Dry goods,Individual,41.8
61,2025-05-01,Fresh produce,Individual,38.8
62,2025-06-20,Frozen,Community Drive,37.4
63,2025-03-30,Fresh produce,Corporate Gift,13.9
64,2025-07-31,Beverages,Individual,34.2
65,2025-06-25,Frozen,Community Drive,37.4
66,2025-03-17,Beverages,Corporate Gift,41.0
67,2025-08-02,Fresh produce,Community Drive,29.4
68,2025-03-10,Canned goods,Individual,36.8
69,2025-01-27,Beverages,Individual,49.7
70,2025-07-16,Fresh produce,Individual,14.6
71,2025-01-16,Beverages,Local Farm,4.6
72,2025-08-09,Frozen,Corporate Gift,16.5
73,2025-06-30,Canned goods,Corporate Gift,36.2
74,2025-05-07,Bakery,Corporate Gift,18.4
75,2025-01-24,Fresh produce,Corporate Gift,21.4
76,2025-06-12,Dry goods,Community Drive,11.4
77,2025-05-23,Fresh produce,Individual,24.4
78,2025-08-05,Bakery,Local Farm,32.7
79,2025-07-24,Dry goods,Corporate Gift,17.1
80,2025-07-23,Bakery,Supermarket Co,29.2
81,2025-07-12,Dairy,Local Farm,6.6
82,2025-07-03,Dairy,Corporate Gift,5.3
83,2025-05-03,Fresh produce,Individual,45.6
84,2025-04-22,Frozen,Local Farm,44.1
85,2025-01-23,Fresh produce,Community Drive,15.8
86,2025-03-16,Beverages,Corporate Gift,48.4
87,2025-07-27,Bakery,Supermarket Co,35.9
88,2025-06-04,Frozen,Individual,46.7
89,2025-01-30,Dry goods,Supermarket Co,44.5
90,2025-05-11,Frozen,Community Drive,33.9
91,2025-07-27,Canned goods,Local Farm,35.8
92,2025-09-03,Frozen,Supermarket Co,38.5
93,2025-02-24,Dairy,Supermarket Co,49.4
94,2025-01-16,Frozen,Community Drive,40.8
95,2025-04-15,Beverages,Local Farm,13.7
96,2025-03-27,Fresh produce,Supermarket Co,49.6
97,2025-02-26,Canned goods,Local Farm,8.9
98,2025-06-19,Bakery,Supermarket Co,6.7
99,2025-08-27,Fresh produce,Supermarket Co,30.1
