household_id,area,household_size,registration_date,support_needs
0,Eastfield,5,2025-01-29,Dietary
1,Eastfield,2,2024-11-21,Emergency
2,Hilltop,3,2024-11-04,Dietary
3,Northgate,1,2024-11-03,Standard
4,Northgate,5,2025-01-21,Emergency
5,Southbank,1,2024-07-14,Standard
6,Northgate,1,2025-04-24,Accessibility
7,Southbank,2,2024-11-14,Standard
8,Northgate,4,2024-08-27,Dietary
9,Eastfield,5,2025-05-06,Emergency
10,Hilltop,6,2024-11-01,Accessibility
11,Southbank,3,2024-06-14,Emergency
12,Hilltop,3,2025-03-09,Dietary
13,Eastfield,4,2024-08-25,Standard
14,Southbank,1,2024-10-20,Emergency
15,Eastfield,4,2025-04-02,Accessibility
16,Southbank,3,2024-07-23,Standard
17,Eastfield,6,2024-12-13,Accessibility
18,Hilltop,1,2025-03-12,Standard
19,Eastfield,3,2025-05-10,Emergency
20,Northgate,2,2024-11-15,Standard
21,Eastfield,1,2025-03-09,Dietary
22,Hilltop,5,2024-06-12,Standard
23,Riverside,5,2025-07-04,Dietary
24,Eastfield,3,2025-04-15,Dietary
25,Southbank,3,2025-06-26,Dietary
26,Hilltop,6,2024-09-12,Dietary
27,Eastfield,5,2025-05-19,Emergency
28,Riverside,5,2025-06-06,Accessibility
29,Southbank,6,2024-12-14,Emergency
30,Southbank,3,2025-01-04,Standard
31,Hilltop,6,2025-02-11,Dietary
32,Northgate,5,2024-08-02,Standard
33,Eastfield,1,2025-02-19,Emergency
34,Eastfield,6,2025-01-29,Emergency
35,Northgate,1,2025-06-20,Standard
36,Hilltop,1,2025-02-06,Emergency
37,Southbank,4,2024-06-10,Accessibility
38,Northgate,3,2024-06-05,Emergency
39,Riverside,3,2024-08-18,Dietary
40,Riverside,2,2025-05-07,Emergency
41,Northgate,5,2024-06-03,Standard
42,Northgate,5,2025-02-15,Emergency
43,Hilltop,6,2025-02-26,Dietary
44,Southbank,6,2024-06-26,Emergency
45,Hilltop,5,2024-12-31,Emergency
46,Riverside,5,2025-02-25,Emergency
47,Riverside,6,2024-09-11,Dietary
48,Northgate,3,2025-01-26,Standard
49,Northgate,3,2024-06-03,Accessibility
50,Riverside,2,2024-12-02,Standard
51,Southbank,3,2024-07-28,Dietary
52,Eastfield,5,2025-02-01,Standard
53,Eastfield,1,2024-12-12,Accessibility
54,Hilltop,1,2024-10-27,Standard
55,Riverside,6,2024-08-20,Accessibility
56,Hilltop,4,2025-05-22,Dietary
57,Hilltop,5,2024-11-08,Dietary
58,Hilltop,2,2024-07-25,Accessibility
59,Eastfield,2,2024-09-23,Emergency
60,Southbank,5,2024-09-14,Accessibility
61,Eastfield,6,2025-05-02,Dietary
62,Southbank,5,2024-11-12,Emergency
63,Southbank,5,2024-07-07,Standard
64,Eastfield,4,2025-06-25,Accessibility
65,Riverside,1,2024-08-26,Standard
66,Hilltop,1,2025-01-29,Accessibility
67,Northgate,1,2025-04-13,Accessibility
68,Riverside,5,2025-06-16,Standard
69,Hilltop,1,2025-05-05,Dietary
70,Riverside,3,2024-06-24,Standard
71,Southbank,4,2025-04-27,Standard
72,Riverside,1,2025-07-01,Emergency
73,Hilltop,5,2024-06-27,Emergency
74,Northgate,5,2025-05-21,Dietary
75,Southbank,5,2025-01-16,Dietary
76,Northgate,6,2024-06-10,Accessibility
77,Riverside,6,2025-03-09,Accessibility
78,Hilltop,3,2024-08-28,Accessibility
79,Eastfield,6,2024-10-27,Standard
80,Hilltop,6,2024-12-19,Emergency
81,Riverside,2,2025-02-14,Standard
82,Northgate,2,2024-07-27,Standard
83,Riverside,4,2024-10-18,Dietary
84,Eastfield,4,2024-11-04,Accessibility
85,Eastfield,1,2024-07-08,Standard
86,Southbank,5,2025-01-01,Emergency
87,Eastfield,1,2025-04-24,Emergency
88,Riverside,5,2024-09-03,Standard
89,Eastfield,5,2024-09-07,Standard
90,Hilltop,2,2025-01-24,Dietary
91,Riverside,1,2024-06-26,Dietary
92,Hilltop,6,2024-06-21,Standard
93,Northgate,3,2025-04-17,Emergency
94,Riverside,1,2025-06-27,Emergency
95,Hilltop,5,2025-06-14,Standard
96,Hilltop,1,2025-02-22,Accessibility
97,Hilltop,4,2025-03-25,Dietary
98,Hilltop,4,2025-02-11,Accessibility
99,Riverside,2,2025-06-09,Dietary
100,Hilltop,2,2024-12-15,Dietary
101,Hilltop,4,2025-04-24,Dietary
102,Eastfield,1,2024-11-02,Standard
103,Eastfield,6,2024-09-25,Standard
104,Hilltop,4,2024-10-24,Accessibility
105,Eastfield,4,2025-06-29,Standard
106,Eastfield,6,2025-03-14,Dietary
107,Southbank,6,2024-12-28,Accessibility
108,Eastfield,5,2024-10-01,Standard
109,Eastfield,6,2024-07-22,Standard
110,Northgate,6,2024-08-05,Accessibility
111,Northgate,1,2025-03-12,Accessibility
112,Southbank,5,2024-12-16,Dietary
113,Hilltop,2,2025-03-22,Standard
114,Riverside,5,2024-08-22,Accessibility
115,Southbank,1,2025-05-09,Dietary
116,Northgate,5,2024-08-11,Dietary
117,Hilltop,5,2025-05-19,Standard
118,Hilltop,4,2025-06-06,Standard
119,Southbank,2,2025-03-18,Standard
120,Northgate,5,2024-10-14,Dietary
121,Southbank,4,2025-03-20,Accessibility
122,Southbank,5,2024-11-25,Emergency
123,Riverside,3,2025-06-05,Accessibility
124,Eastfield,6,2024-08-27,Dietary
125,Southbank,6,2024-10-11,Accessibility
126,Northgate,2,2024-11-16,Accessibility
127,Hilltop,3,2025-06-07,Accessibility
128,Eastfield,6,2024-08-04,Accessibility
129,Eastfield,3,2025-07-05,Emergency
130,Northgate,6,2024-06-21,Emergency
131,Eastfield,6,2024-06-08,Emergency
132,Riverside,6,2024-09-24,Accessibility
133,Northgate,2,2024-06-08,Accessibility
134,Riverside,3,2025-04-10,Emergency
135,Northgate,3,2024-12-15,Dietary
136,Northgate,2,2024-11-18,Dietary
137,Southbank,4,2025-02-07,Emergency
138,Hilltop,4,2025-02-15,Standard
139,Northgate,6,2024-10-27,Emergency
140,Hilltop,3,2024-12-30,Accessibility
141,Northgate,3,2025-05-06,Emergency
142,Eastfield,5,2025-01-22,Accessibility
143,Southbank,6,2025-01-27,Standard
144,Riverside,3,2024-09-24,Emergency
145,Northgate,1,2025-04-17,Dietary
146,Hilltop,3,2024-07-17,Dietary
147,Riverside,4,2025-03-26,Standard
148,Eastfield,1,2025-05-13,Accessibility
149,Southbank,6,2024-08-11,Accessibility
150,Hilltop,5,2024-06-22,Dietary
151,Riverside,5,2024-12-07,Emergency
152,Northgate,2,2024-09-26,Standard
153,Riverside,6,2024-06-28,Emergency
154,Northgate,2,2025-06-16,Standard
155,Hilltop,4,2025-05-10,Dietary
156,Eastfield,2,2024-07-27,Standard
157,Eastfield,5,2025-03-04,Dietary
158,Riverside,2,2024-08-03,Accessibility
159,Southbank,3,2024-12-30,Accessibility
160,Eastfield,5,2025-01-02,Emergency
161,Southbank,5,2024-10-23,Standard
162,Southbank,1,2025-01-26,Standard
163,Southbank,1,2025-01-28,Emergency
164,Hilltop,2,2024-07-17,Dietary
165,Riverside,3,2025-04-23,Accessibility
166,Riverside,3,2025-01-17,Emergency
167,Northgate,5,2024-10-28,Accessibility
168,Eastfield,1,2024-11-12,Standard
169,Southbank,3,2024-12-03,Accessibility
170,Southbank,5,2024-10-18,Dietary
171,Hilltop,5,2025-03-27,Accessibility
172,Southbank,6,2024-08-03,Emergency
173,Southbank,4,2024-07-15,Standard
174,Riverside,1,2024-08-23,Dietary
175,Northgate,6,2024-11-15,Emergency
176,Hilltop,1,2025-03-12,Standard
177,Eastfield,1,2024-07-08,Dietary
178,Southbank,3,2024-11-29,Emergency
179,Hilltop,2,2024-11-24,Emergency
180,Eastfield,3,2025-01-05,Dietary
181,Southbank,2,2025-03-28,Accessibility
182,Hilltop,4,2024-09-02,Dietary
183,Hilltop,5,2024-06-07,Dietary
184,Northgate,1,2024-06-08,Dietary
185,Eastfield,3,2025-01-08,Accessibility
186,Riverside,4,2024-09-26,Emergency
187,Southbank,2,2024-12-09,Accessibility
188,Southbank,4,2024-10-12,Dietary
189,Northgate,2,2025-04-03,Standard
190,Northgate,3,2025-01-28,Standard
191,Eastfield,6,2024-11-20,Accessibility
192,Eastfield,3,2025-03-17,Dietary
193,Eastfield,4,2024-06-25,Emergency
194,Eastfield,4,2024-09-01,Dietary
195,Northgate,1,2025-04-24,Standard
196,Riverside,3,2024-08-09,Standard
197,Northgate,2,2024-11-12,Dietary
198,Southbank,6,2024-06-08,Accessibility
199,Eastfield,6,2024-10-14,Standard
200,Northgate,1,2025-04-07,Standard
201,Riverside,2,2024-07-11,Standard
202,Hilltop,1,2025-04-01,Dietary
203,Riverside,6,2025-01-06,Dietary
204,Southbank,6,2025-04-26,Standard
205,Riverside,5,2024-12-27,Accessibility
206,Riverside,6,2024-11-08,Accessibility
207,Southbank,2,2025-04-01,Accessibility
208,Eastfield,1,2025-01-20,Dietary
209,Northgate,2,2025-02-21,Emergency
210,Eastfield,2,2025-06-29,Dietary
211,Hilltop,4,2025-05-13,Emergency
212,Northgate,5,2024-11-25,Dietary
213,Hilltop,4,2024-12-30,Accessibility
214,Southbank,3,2024-08-01,Dietary
215,Riverside,4,2025-01-05,Dietary
216,Riverside,1,2025-01-06,Accessibility
217,Southbank,3,2025-06-17,Emergency
218,Hilltop,4,2024-06-20,Accessibility
219,Northgate,5,2024-11-22,Dietary
220,Hilltop,4,2024-07-27,Emergency
221,Hilltop,1,2024-10-24,Accessibility
222,Eastfield,6,2025-03-02,Standard
223,Eastfield,3,2024-12-23,Dietary
224,Riverside,5,2025-01-07,Dietary
225,Southbank,4,2024-08-21,Emergency
226,Northgate,5,2024-06-28,Dietary
227,Northgate,5,2024-08-20,Standard
228,Eastfield,1,2024-07-28,Dietary
229,Southbank,6,2024-06-10,Emergency
230,Hilltop,1,2024-07-24,Accessibility
231,Eastfield,2,2024-11-28,Dietary
232,Hilltop,6,2024-11-22,Emergency
233,Eastfield,5,2025-04-19,Dietary
234,Hilltop,6,2024-06-10,Accessibility
235,Northgate,2,2025-03-26,Accessibility
236,Southbank,3,2024-12-17,Dietary
237,Northgate,5,2024-10-27,Standard
238,Southbank,3,2024-09-20,Emergency
239,Southbank,2,2025-02-06,Emergency
240,Riverside,5,2025-02-18,Standard
241,Hilltop,6,2025-01-19,Dietary
242,Eastfield,2,2025-06-03,Dietary
243,Southbank,3,2024-09-17,Standard
244,Southbank,3,2025-04-03,Emergency
245,Hilltop,6,2024-07-27,Emergency
246,Riverside,1,2024-08-30,Standard
247,Eastfield,3,2024-10-31,Accessibility
248,Riverside,3,2024-12-17,Emergency
249,Riverside,2,2025-01-03,Accessibility
250,Northgate,2,2024-10-22,Accessibility
251,Northgate,2,2025-04-04,Emergency
252,Southbank,2,2025-06-12,Accessibility
253,Riverside,6,2024-10-16,Dietary
254,Riverside,5,2025-07-01,Accessibility
255,Northgate,5,2025-03-23,Accessibility
256,Hilltop,3,2024-06-28,Emergency
257,Hilltop,2,2025-06-16,Accessibility
258,Southbank,4,2025-03-23,Standard
259,Southbank,4,2024-12-03,Accessibility
260,Riverside,6,2025-01-16,Accessibility
261,Southbank,3,2024-07-25,Dietary
262,Eastfield,2,2024-10-29,Emergency
263,Southbank,2,2024-08-03,Emergency
264,Hilltop,2,2024-11-02,Accessibility
265,Eastfield,1,2025-02-09,Emergency
266,Eastfield,2,2025-07-02,Standard
267,Southbank,3,2024-08-31,Dietary
268,Northgate,4,2025-05-08,Standard
269,Northgate,6,2024-11-18,Emergency
270,Riverside,2,2024-08-18,Standard
271,Southbank,3,2025-02-23,Standard
272,Southbank,5,2024-08-17,Dietary
273,Northgate,2,2025-01-27,Emergency
274,Riverside,3,2025-05-03,Dietary
275,Southbank,3,2025-04-17,Dietary
276,Riverside,3,2025-01-30,Dietary
277,Northgate,4,2025-04-15,Dietary
278,Northgate,1,2025-02-28,Dietary
279,Riverside,6,2025-05-27,Dietary
280,Northgate,5,2024-12-27,Dietary
281,Hilltop,2,2025-01-18,Dietary
282,Northgate,5,2024-12-18,Dietary
283,Hilltop,4,2024-11-17,Accessibility
284,Southbank,6,2025-05-11,Accessibility
285,Riverside,2,2024-07-11,Standard
286,Eastfield,6,2024-12-08,Dietary
287,Hilltop,3,2025-05-16,Dietary
288,Hilltop,4,2024-12-16,Accessibility
289,Riverside,5,2024-11-04,Emergency
290,Eastfield,4,2024-07-23,Accessibility
291,Southbank,6,2024-08-15,Standard
292,Hilltop,6,2024-11-25,Emergency
293,Riverside,6,2024-12-09,Emergency
294,Riverside,4,2024-11-02,Dietary
295,Southbank,4,2024-09-27,Dietary
296,Northgate,3,2024-12-15,Accessibility
297,Northgate,5,2025-06-09,Emergency
298,Southbank,2,2025-01-18,Accessibility
299,Southbank,2,2025-02-12,Accessibility
300,Riverside,3,2024-07-14,Emergency
301,Eastfield,5,2024-07-08,Standard
